Song,Film/Album,Artists
Madhu Malati Dake,Sada Kalo Rupankar Bagchi,"Sabina Yasmin, Andrew Kishore"
Ei Je Kichhu Kathar,Rupankar O Chand,Rupankar Bagchi
Tumi Khub Chena,Rupankar O Chand,Rupankar Bagchi
"Bone Phagun, Mone Agun",,S.D.Burman
"Bone Phagun, Mone Agun",S.D.Burman The Immortal,S.D.Burman
Shreyasi,,Rupankar Bagchi
Shreyasi,Sada Kalo Rupankar Bagchi,Rupankar Bagchi
Hriday Amar Sundar Tabo,Sagarika,Alpana Banerjee
Jemon Dekho Tomar Chokher,Sedin Chaitramas,Nachiketa Chakraborty
Oi Je Pathe Urchhe Dhulo,Sedin Chaitramas,"Nachiketa Chakraborty, Swagatalakshmi Dasgupta"
Jibaner Beena Tumi Bajale,Serashilpi Seragaan,Haimanti Sukla
Andhar Aamar Bhalo Lage,Sera Shilpi Sera Gaan,Pratima Banerjee
Banshi Shune Aar Kaj Nai,Sera Shilpi Sera Gaan,S.D.Burman
Aamar Moner Kato Sukh Niye,Sera Shilpi Sera Gaan,Mukesh
Shudhu Swapno Niye Khela Cholechhe,Sera Shilpi Sera Gaan,Suman Kalyanpur
Tribeni Tirthapathe Ke Gahilo Gaan,,"Pratima Banerjee, Chinmoy Lahiri"
Tribeni Tirthapathe Ke Gahilo Gaan,Shap Mochan,"Pratima Banerjee, Chinmoy Lahiri"
Du Chokhe Oi Aalto Hasi,Shikar,"Babul Supriyo, Shreya Ghoshal"
Ektu Hasir Chhonwate,Shikar,Kumar Sanu
Sumanar Mon Bhalo,Shikar,"Abhijeet, Shaan"
Chalona Dighar Saikat Chhere,Shuru Hok Path Chala,Pintoo Bhattacharya
Manda Bale Loke Boluk Na,Smaraniyo Adhunik Gaan,Mukesh
Oi Dur Diganta Pare,Sumaner Gaan Ichchey Holo,Mohd.Rafi
Oi Dur Diganta Pare,Smaraniyo Adhunik Gaan,Mohd.Rafi
Oi Dur Diganta Pare,Indranil Sen Aha Chandrabali,Mohd.Rafi
Ami Banophool Go,Smritir Malika Gathi Firoza,Firoza Begum
Mor Jibaner Duti Raati,Smritir Malika Gathi Firoza,Firoza Begum
Bhalobasa More,Srimati Je Kande Kumar,Kumar Sanu
Sandhyalagane Swapna Magane,Subir Sen Eto Sur Aar Eto,Subir Sen
Ogo Shakuntala,Subir Sen Eto Sur Aar Eto,Subir Sen
"Monalisa, Tumi Ke Balo Na",Subir Sen Eto Sur Aar Eto,Subir Sen
Gun Gun Gun,Sujan Sakhi,Indrani Sen
Chaichhi Tomar Bondhuta,Suman Chaichhi Tomar,Kabir Suman
Tomar Tulana,Sumaner Gaan Ichchey Holo,Kabir Suman
Ei Raat Jodi Na Sesh Hoy,Sundari Go Romantic Hits,Manna Dey
Shudhu Tomar Bhalobaste,Sundari Go Romantic Hits,Manna Dey
Bhuli Nai Bhuli Nai,,Jaganmoy Mitra
Bhuli Nai Bhuli Nai,Surasagar Jaganmoy Mitra,Jaganmoy Mitra
Kato Dur Chale Elam,Surer Rajanigandha,Kumar Sanu
Phuler Chhnoa Jadi Lage,Surer Rajanigandha,Kumar Sanu
Tomar Sure Sur Bendhechhi,Surer Rajanigandha,Kumar Sanu
Tumi Achho Eto Kachhe Tai,Surer Rajanigandha,Kumar Sanu
Tumi Janona Naki Bojhona,Surer Rajanigandha,Kumar Sanu
O Banshite Dake Se,Suryamukhi,Hemanta Mukherjee
Aaj Amar Praner,Swapna,"Babul Supriyo, Shaan"
Chanchal Mon Anmona Hoy,Sada Kalo Rupankar Bagchi,"Sabina Yasmin, Andrew Kishore"
Chanchal Mon Anmona Hoy,Sumaner Gaan Ichchey Holo,Firoza Begum
Chanchal Mon Anmona Hoy,Swapna,"Udit Narayan, Sadhana Sargam"
Alo Aar Alo Diye,Swayamsiddha,Asha Bhosle
Sa Ni Pa Ni Ni,Target,"Shreya Ghoshal, Shaan"
Sonar Naame Naam Dilo Ke Sundari,Tarun Banerjee Modern,Tarun Banerjee
Panna Heera Chuni To Noy,Tarun Banerjee Modern,Tarun Banerjee
Rang Shudhu Diyei Gele,Tilottoma,"Manna Dey, Arundhati Holme"
Tomader Gaaner Sabhay Esechhi,Tomader Ganer Sabhay,Banasree Sengupta
Ami Eto Je Tomay Bhalobesechhi,Tomare Bhalobeshechhi,Manabendra Mukherjee
Kichhu Likhte Gelei,Tomay Pabo Bole,"Kabir Suman, Alka Yagnik"
Tomake Dekchhi,Tribeni Suman And Nachike-,Kabir Suman
Tomar Chul Bandha,Trishna,Jagjit Singh
Katha Noy Katha Noy,Tui Jabi Katodur Rupankar,"Bagchi, Rupankar Bagchi"
Tomake Amake,Tui Jabi Katodur Rupankar,Rupankar Bagchi
Aase Ki Na Aase,Tumi Zubeen Garg,Zubeen Garg
Chokheri Tarate,Tumi Zubeen Garg,"Zubeen Garg, Kalpana"
Naar Neiya Re,Tumi Zubeen Garg,Zubeen Garg
O Piya O Piya,Ujan,"Kumar Sanu, Anuradha Paudwal"
Tomar Chokhe,Indranil Sen Aha Chandrabali,Rupankar Bagchi
Tomar Chokhe,Surasagar Jaganmoy Mitra,Rupankar Bagchi
Tomar Chokhe,Wrong Number Raghab,Raghab Chatterjee
