Song,Film/Album,Artists
Teri Na Na Na,C.I.D.,"Kumar Sanu, Alka Yagnik"
Main Hoon Meri Tanhayi,Can't Say Forget Me,Kumar Sanu
Hum Jo Rang Mein Aagye,Censor,"Kumar Sanu, Udit Narayan, Alka Yagnik, Jaspinder Narula"
Yaaron Jo Kal Tak,Censor,Kumar Sanu
Dil Ki Tanhai Ko,Chaahat,"Kumar Sanu, Sadhana Sargam"
Kabhi Dil Se Kam Mohabbat,Chaahat,Kumar Sanu
Thodi Si Beqarari,Chal Mere Bhai,"Kumar Sanu, Alka Yagnik"
Mujhe Jeena Aagya,Chal Zindagi,"Kumar Sanu, Shannon K"
Dekho Dekho Chamatkar,Chamatkar,"Kumar Sanu, Sukhwinder Singh, Nandu Bhende"
Is Pyar Se Meri Taraf (Male),Chamatkar,Kumar Sanu
Is Pyar Se Meri Taraf Na Dekho,Chamatkar,"Kumar Sanu, Alka Yagnik"
O Meri Neendein Churane Wale,Chamatkar,"Kumar Sanu, Asha Bhosle"
Yeh Hai Pyaar Pyaar,Chamatkar,"Kumar Sanu, Asha Bhosle"
Chand Bujh Gaya,Chand Bujh Gaya,Kumar Sanu
Chupke Chupke De Jaati Hai Pyar,Chand Bujh Gaya,"Kumar Sanu, Pamela Jain"
Iss Dil Ka Barosa Kya,Chand Ke Paar Chalo,"Kumar Sanu, Shreya Ghoshal, Aftab Hasmi Sabri"
Chha Raha Hai Pyar Ka Nasha,Chandra Mukhi,"Kumar Sanu, Alka Yagnik, Alisha Chinai"
Tere Dil Ki Baat,Chandra Mukhi,Kumar Sanu
Sulge Huye Hain,Charas,"Kumar Sanu, Alka Yagnik"
Hamare Ishq Ka,Charminar Boyz,"Kumar Sanu, Madhushree"
Har Khushi,Chase No Mercy To Crime,"Kumar Sanu, Sanchari Laha"
Jaane Kaise Tumse Hogaya Hai Pyar,Chattan,"Kumar Sanu, Priya Bhattacharya"
Tere Liye Dil Ke Diye,Chattan,Kumar Sanu
Ye Kudi Mera Dil Le Gayi,Cheetah,Kumar Sanu
Ye Tera Sajna Sawarna,Cheetah,"Kumar Sanu, Alka Yagnik"
Chehra Apna Dekhte Hai,Chehraa,Kumar Sanu
Ek To Aisi Ladki,Chehraa,Kumar Sanu
